,Month,mean_temp-MEAN,mean_temp-MEDIAN,mean_temp-VARIANCE,mean_temp-MIN,mean_temp-MAX,min_temp-MEAN,min_temp-MEDIAN,min_temp-VARIANCE,min_temp-MIN,min_temp-MAX,max_temp-MEAN,max_temp-MEDIAN,max_temp-VARIANCE,max_temp-MIN,max_temp-MAX,precip-MEAN,precip-MEDIAN,precip-VARIANCE,precip-MIN,precip-MAX
409,2-1984,41.16,41.2,190.56,-18.6,89.6,31.79,32.0,196.74,-27.8,86.0,51.53,52.0,226.47,-7.8,113.0,0.05,0.0,0.05,0.0,4.46
410,3-1984,43.27,42.2,238.23,-22.9,88.9,33.96,33.1,227.98,-32.1,80.6,53.47,53.1,290.08,-9.0,107.6,0.06,0.0,0.06,0.0,6.85
411,4-1984,53.23,51.7,137.14,7.5,89.7,43.19,42.1,134.0,-3.8,84.2,63.97,63.0,178.5,10.2,109.9,0.07,0.0,0.06,0.0,6.5
412,5-1984,62.83,62.7,134.41,1.8,109.6,51.81,51.1,134.64,-7.8,104.0,73.99,75.0,165.41,8.2,129.2,0.07,0.0,0.09,0.0,14.72
413,6-1984,71.32,72.6,98.07,7.0,108.5,60.36,61.0,108.95,0.1,98.1,82.15,84.0,113.49,7.2,123.8,0.06,0.0,0.07,0.0,10.0
414,7-1984,74.99,75.4,63.85,19.8,108.8,63.85,64.9,78.41,-6.9,102.0,86.09,87.1,79.86,30.2,120.9,0.07,0.0,0.11,0.0,12.13
415,8-1984,75.12,75.7,59.58,6.7,108.8,64.28,65.8,78.91,1.2,99.0,86.27,87.1,72.05,9.1,120.9,0.06,0.0,0.09,0.0,12.05
416,9-1984,66.22,67.4,143.89,7.6,109.8,55.36,55.9,157.79,6.1,105.8,77.97,80.1,167.85,8.2,129.2,0.05,0.0,0.06,0.0,9.79
417,10-1984,57.93,59.1,158.98,-3.2,88.0,48.92,50.0,185.38,-15.0,84.9,68.19,70.0,170.85,8.2,111.2,0.07,0.0,0.08,0.0,10.0
418,11-1984,45.84,45.0,157.11,-7.6,82.4,36.72,35.1,172.97,-17.1,78.1,56.32,55.9,178.32,6.1,91.9,0.06,0.0,0.06,0.0,9.04
419,12-1984,39.97,39.9,296.03,-23.7,79.0,31.62,32.0,320.67,-39.1,75.0,49.79,50.0,311.03,-13.9,90.0,0.05,0.0,0.03,0.0,5.08
420,1-1985,30.49,30.3,260.53,-31.6,77.5,21.98,23.0,280.43,-42.9,75.0,40.33,39.0,278.43,-27.8,88.0,0.03,0.0,0.02,0.0,4.5
421,2-1985,35.78,36.3,315.44,-27.7,87.9,26.49,28.0,343.02,-44.9,82.4,46.04,46.0,340.56,-16.8,111.2,0.05,0.0,0.05,0.0,5.79
422,3-1985,47.23,46.6,182.73,-8.5,89.6,37.34,36.0,200.59,-26.9,84.2,58.25,57.9,203.64,6.3,107.6,0.05,0.0,0.04,0.0,5.2
